test_name,mode,block_size,threads,w_iops,bw_in_mibs,dev
gp3_throughput_1000,randwrite,4,16,4395,17,/dev/nvme1n1
gp3_throughput_2000_with_raid_0,randwrite,4,16,8780,34,/dev/md0
io2_iops_16000,randwrite,4,16,17585,69,/dev/nvme4n1
gp3_iops_16000,randwrite,4,16,17583,69,/dev/nvme5n1
gp3_throughput_1000,randwrite,8,16,4131,32,/dev/nvme1n1
gp3_throughput_2000_with_raid_0,randwrite,8,16,8273,65,/dev/md0
io2_iops_16000,randwrite,8,16,16631,130,/dev/nvme4n1
gp3_iops_16000,randwrite,8,16,16597,130,/dev/nvme5n1
gp3_throughput_1000,randwrite,16,16,4157,65,/dev/nvme1n1
gp3_throughput_2000_with_raid_0,randwrite,16,16,8349,130,/dev/md0
io2_iops_16000,randwrite,16,16,16602,259,/dev/nvme4n1
gp3_iops_16000,randwrite,16,16,16635,260,/dev/nvme5n1
gp3_throughput_1000,randwrite,32,16,4137,129,/dev/nvme1n1
gp3_throughput_2000_with_raid_0,randwrite,32,16,8301,259,/dev/md0
io2_iops_16000,randwrite,32,16,16742,523,/dev/nvme4n1
gp3_iops_16000,randwrite,32,16,16645,520,/dev/nvme5n1
gp3_throughput_1000,randwrite,64,16,4166,260,/dev/nvme1n1
gp3_throughput_2000_with_raid_0,randwrite,64,16,8334,521,/dev/md0
io2_iops_16000,randwrite,64,16,16653,1041,/dev/nvme4n1
gp3_iops_16000,randwrite,64,16,16739,1046,/dev/nvme5n1
gp3_throughput_1000,randwrite,128,16,4160,520,/dev/nvme1n1
gp3_throughput_2000_with_raid_0,randwrite,128,16,8314,1039,/dev/md0
io2_iops_16000,randwrite,128,16,10558,1320,/dev/nvme4n1
gp3_iops_16000,randwrite,128,16,8798,1100,/dev/nvme5n1
gp3_throughput_1000,randwrite,256,16,4170,1043,/dev/nvme1n1
gp3_throughput_2000_with_raid_0,randwrite,256,16,5267,1317,/dev/md0
io2_iops_16000,randwrite,256,16,4998,1249,/dev/nvme4n1
gp3_iops_16000,randwrite,256,16,4175,1044,/dev/nvme5n1
